image_path,label,domain,metadata_path
diseases/plant/tomato_healthy/images/0d91db63-181b-4c3a-939b-181cc812e466___RS_HL 0308.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0a205a11-1e64-49f7-93c2-ad59312b4f83___RS_HL 0334.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/7ee078a8-218e-4ebf-8935-ec9f844ab744___GH_HL Leaf 212.9.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/7f5c8018-c4c3-4471-aa30-defe910ea3d9___GH_HL Leaf 444.1.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/potato_early_blight/images/1b4304a9-88c2-4c09-bfea-830fa162a35a___RS_Early.B 7188.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1daae61a-7014-4efe-b855-018999a5be9b___RS_Early.B 6852.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2bc972a0-789f-4e60-9882-2f16fc363dfc___RS_Early.B 7234.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0ddd62cd-a999-4d58-a8f1-506e1004a595___RS_Early.B 8041.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2c310eaf-dbf4-4e8f-a8d8-ed8e0b51067a___RS_Early.B 6897.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0ed45bc2-c8cc-4d65-8f53-bdc10d78a7dc___RS_Early.B 8504.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1f830d02-1fc6-41d6-99c6-851e0d2af4ad___RS_Early.B 9182.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0a6983a5-895e-4e68-9edb-88adf79211e9___RS_Early.B 9072.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1d2ec63e-acfb-4a80-ba21-853a724fff4a___RS_Early.B 8083.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1defd277-6394-4049-895d-470f1e27e189___RS_Early.B 8931.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2dc9baab-663f-4f09-a0a4-7c07edfb4c42___RS_Early.B 6866.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2cc3eb24-b210-4827-befe-0e3a24161ac4___RS_Early.B 6829.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1f56ef5b-9a3b-4731-bf82-b08aeb84fcb5___RS_Early.B 9032.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1c42eae7-29c8-42fd-b05a-9b8255790f6f___RS_Early.B 7719.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1af20ff8-980d-4912-b337-804b09667de3___RS_Early.B 7392.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2b3e46d9-09dd-4966-99c6-fe44c741b94c___RS_Early.B 8290.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/Potato___Early_blight.jpg,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0c4f6f72-c7a2-42e1-9671-41ab3bf37fe7___RS_Early.B 6752.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0f9c098f-a6df-4a73-8c14-8e7d4dbb1b0b___RS_Early.B 7991.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1ee04a42-fa1c-4f6b-a88b-4cf583b188ea___RS_Early.B 8494.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2cf993b6-98e7-4678-aea5-9177ea3b63bd___RS_Early.B 7692.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0a79700b-f834-41f5-ae51-6ceda6f67a48___RS_Early.B 8951.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1d466431-007d-4b3b-bd45-b09f1a6f7bad___RS_Early.B 8932.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2cce6cd6-16c4-426f-84e6-2f3c192fac2c___RS_Early.B 8999.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0d987d4a-26bc-4f74-8a16-12f8969dfed8___RS_Early.B 7013.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/3a97c74a-3d6e-4cd9-86e0-10a8e716e7b5___RS_Early.B 8422.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2b8cfa81-e20f-4c28-b403-2cec2e5c0f2a___RS_Early.B 8145.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2cafa90e-af46-4d0a-9137-9780d816b96a___RS_Early.B 7731.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1d038d64-7f3c-4b4d-9b3d-7736f97b59a0___RS_Early.B 7994.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2ce7e8d7-4cc9-4ab3-9d22-8f7ad21d8eda___RS_Early.B 8609.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2b1718b3-c951-4f24-b6ec-4eb7df77c913___RS_Early.B 7475.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0a0744dc-8486-4fbb-a44b-4d63e6db6197___RS_Early.B 7575.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2a9d3616-0bf1-4d98-b649-0a46d36dab7c___RS_Early.B 6703.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0e0a1b51-f61c-4934-bc57-a820af1faacb___RS_Early.B 7147.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0c5b14d9-8b1c-4c39-bb23-1835b5760caa___RS_Early.B 7937.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0bbb8bce-2020-416b-8bd6-c160c2db9921___RS_Early.B 8386.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2b982641-10ea-4426-874f-509e6377ff59___RS_Early.B 7663.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1e671694-5713-4568-b8ad-06f15688d25e___RS_Early.B 7659.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1cb05d87-027d-4bf0-b5c4-4c1a57896ac6___RS_Early.B 7936.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1de8ed75-0778-4364-9178-52c1bd0dffb4___RS_Early.B 6729.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1b0a2898-00b9-4a12-b4dc-a89b77b9e8b7___RS_Early.B 6928.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0f223bbc-d2b4-4d58-8314-359d92d0102b___RS_Early.B 8052.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0ede4acd-3685-40d9-b52b-7b3cb6536fa8___RS_Early.B 7377.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2c0e712a-fb21-44b6-bbe1-7c67cec7b965___RS_Early.B 7084.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1a38f06b-da2a-4c57-bef1-a73254896403___RS_Early.B 9178.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2c48971d-9f73-401d-a62a-f3729d08b6c2___RS_Early.B 7463.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2fe81ef1-d7ec-4395-b071-c74d5beb4037___RS_Early.B 7242.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0fd22207-cb37-42a1-965f-7dfe43f9d579___RS_Early.B 6876.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2d149f7a-4b0a-40a6-8d0b-1d1f14e5e696___RS_Early.B 9143.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1d301622-e359-49d5-b4ca-6837f254fd1b___RS_Early.B 6719.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0ad3ba53-f01b-403b-a99d-5991eed85045___RS_Early.B 7600.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2f81d148-c62f-4d3c-baf4-72b77abea41a___RS_Early.B 7493.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1e99ce6b-b7fa-4ae1-9076-279f430b8c5f___RS_Early.B 7092.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/002a55fb-7a3d-4a3a-aca8-ce2d5ebc6925___RS_Early.B 8170.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2ebb14eb-0e87-468c-a1cb-80579a77a37a___RS_Early.B 7044.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0faca7fe-7254-4dfa-8388-bbc776338c9c___RS_Early.B 7929.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2e88d4ed-b11b-4123-9e4b-f3c02a65ad39___RS_Early.B 9180.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1d4fc5d0-fee6-40bf-8e7b-e1598ea64161___RS_Early.B 8912.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2d344be7-2d5f-4d27-aeb2-b92c8191b877___RS_Early.B 7173.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0caf6a39-3f5f-4201-a4d7-3ea35fdf1303___RS_Early.B 6762.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0e6b9e09-2bcd-41e0-b001-b80a33a8a78b___RS_Early.B 8694.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2c5500a4-cfa4-4b46-8db4-443b995d39dd___RS_Early.B 8768.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2ec0f91e-b8a4-4aeb-9e08-8bd32b492487___RS_Early.B 7502.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0d9dbf50-53a9-42b2-8b29-0360fb7dbd98___RS_Early.B 6692.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0d2325ff-4e3e-44bf-9614-e5ad6c23fc16___RS_Early.B 6797.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0a47f32c-1724-4c8d-bfe4-986cedd3587b___RS_Early.B 8001.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1c4e0445-375a-4c5d-b6fd-6123d22f009f___RS_Early.B 7972.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2b6f9564-80a2-4db7-a5e6-72be5ef33a71___RS_Early.B 8009.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1ca9e3ba-e029-48bf-b207-e8cb3546f953___RS_Early.B 7978.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1a2970b6-bafd-4812-93bc-57ff969e1045___RS_Early.B 7330.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1a77c047-7ed8-4f02-bfaf-a19e7a67c3dd___RS_Early.B 7076.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1f80f111-6a3e-4dfc-8456-0f3e9a19ae10___RS_Early.B 6879.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1d18a770-8a16-4765-bae9-5d96f781db89___RS_Early.B 7803.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/1ff86a73-9f36-45c5-8012-c5d90445b7ac___RS_Early.B 8563.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/0a8a68ee-f587-4dea-beec-79d02e7d3fa4___RS_Early.B 8461.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/3a8429cf-f8a7-4f64-a435-ec4f1ad692c7___RS_Early.B 8990.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/potato_early_blight/images/2a4fd894-0c4f-471b-b80b-d362a7b513f4___RS_Early.B 8038.JPG,potato_early_blight,plant,diseases/plant/potato_early_blight/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0fada544-d797-4168-bbf4-4f9dcfd24ec8___YLCV_NREC 1993.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0b3c0bd6-c379-483e-a340-f592056e8c69___YLCV_NREC 2764.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0aeac05f-804d-4e4c-a753-644ae6547d60___UF.GRC_YLCV_Lab 01539.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0aeb6056-aab3-4510-bf52-77960c436637___UF.GRC_YLCV_Lab 01334.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0ecb87cb-7759-4207-8b39-1d52326f6882___YLCV_GCREC 2597.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0bbc17fe-64da-46f7-938b-7208cc81c19a___UF.GRC_YLCV_Lab 02304.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0a85f197-fa0e-4665-be11-d52e84a45878___UF.GRC_YLCV_Lab 02732.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/00c16232-5beb-41a1-9a05-b18a02f10ca1___YLCV_NREC 2536.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0e2b6085-96c0-427c-801d-324eaef8b315___UF.GRC_YLCV_Lab 02848.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0ef08a25-e24e-4ac7-96b7-fbc28046ce34___UF.GRC_YLCV_Lab 02884.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0b65e4d3-9a6e-463a-b930-814c787d01c6___UF.GRC_YLCV_Lab 01910.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0dbdab59-5915-41ac-8ba1-bae9b0ae726b___YLCV_NREC 2552.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0a24f0eb-982d-4611-8a0c-088ef1ac8cb5___YLCV_GCREC 5454.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0d173b50-c743-4422-99d1-48a0069518db___UF.GRC_YLCV_Lab 03204.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0b6dc215-ed6c-4c32-acb3-527447eca603___YLCV_NREC 0204.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0a0fe942-bb9e-4384-8466-779017d00bcf___UF.GRC_YLCV_Lab 02192.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0e321bad-3d5e-4f2f-abf0-f991bfc12b26___UF.GRC_YLCV_Lab 09481.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0c9ad7ef-1db7-4a0b-864d-7b6ca98a0282___UF.GRC_YLCV_Lab 01506.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0f4001ae-9a28-4263-9eb1-1028ecbcd312___YLCV_NREC 2322.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0dc37de6-047f-43d5-8b83-cd50628b1606___YLCV_NREC 2611.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0a9e37a2-95d5-4af7-95a1-2cbb67074452___YLCV_NREC 2291.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0b458337-20be-4c8d-ae8d-184cd60ee8c1___UF.GRC_YLCV_Lab 01311.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0a351fc7-e2aa-426f-bba0-f6d5096827a3___UF.GRC_YLCV_Lab 02044.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0a3befdb-c654-435b-b834-d3451436afd3___YLCV_NREC 2313.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0c71b575-2862-4037-8ae4-ee3b98554954___UF.GRC_YLCV_Lab 03050.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0d07c65d-0a4f-4a0b-8e5a-ade16407928a___UF.GRC_YLCV_Lab 02450.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0b668e46-2ef6-4dbf-b45e-220b45bad923___YLCV_NREC 2553.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0d613c80-738a-42da-834f-7db6203018ff___UF.GRC_YLCV_Lab 02393.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0ea9a403-bd63-42e1-9352-902db6c725e2___YLCV_NREC 2735.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0ec3e86a-8c2a-4f66-9c29-ee995dc88a7e___UF.GRC_YLCV_Lab 02980.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
diseases/plant/tomato_tomato_yellowleaf_curl_virus/images/0f73811c-1401-434d-bd60-844d416e2846___UF.GRC_YLCV_Lab 01267.JPG,tomato_tomato_yellowleaf_curl_virus,plant,diseases/plant/tomato_tomato_yellowleaf_curl_virus/info.json
